linker_id,name,xyz_file,smiles
1044,ch2_15_c_link__8_p-pyridine__site2,ch2_15_c_link__8_p-pyridine__site2.xyz,n1ccc(cc1)Cc1ccc2c(-c3ccccc3CC2)c1
1045,ch2_15_c_link__8_p-pyridine__site3,ch2_15_c_link__8_p-pyridine__site3.xyz,n1ccc(cc1)Cc1cccc2-c3c(CCc12)cccc3
1046,ch2_15_c_link__8_p-pyridine__site4,ch2_15_c_link__8_p-pyridine__site4.xyz,n1ccc(cc1)C[C@@H]1Cc2ccccc2-c2c1cccc2
1047,ch2_15_c_link__9_m-pyridine__site1,ch2_15_c_link__9_m-pyridine__site1.xyz,c1ccc(cn1)Cc1cccc2c1-c1ccccc1CC2
1048,ch2_15_c_link__9_m-pyridine__site2,ch2_15_c_link__9_m-pyridine__site2.xyz,c1ccc(cn1)Cc1ccc2c(-c3ccccc3CC2)c1
1049,ch2_15_c_link__9_m-pyridine__site3,ch2_15_c_link__9_m-pyridine__site3.xyz,c1ccc(cn1)Cc1cccc2-c3c(CCc12)cccc3
1050,ch2_15_c_link__9_m-pyridine__site4,ch2_15_c_link__9_m-pyridine__site4.xyz,c1ccc(cn1)C[C@@H]1Cc2ccccc2-c2c1cccc2
1051,ch2_15_c_link__10_o-pyridine__site1,ch2_15_c_link__10_o-pyridine__site1.xyz,c1ccc(nc1)Cc1cccc2c1-c1ccccc1CC2
1052,ch2_15_c_link__10_o-pyridine__site2,ch2_15_c_link__10_o-pyridine__site2.xyz,c1ccc(nc1)Cc1ccc2c(-c3ccccc3CC2)c1
1053,ch2_15_c_link__10_o-pyridine__site3,ch2_15_c_link__10_o-pyridine__site3.xyz,c1ccc(nc1)Cc1cccc2-c3c(CCc12)cccc3
1054,ch2_15_c_link__10_o-pyridine__site4,ch2_15_c_link__10_o-pyridine__site4.xyz,c1ccc(nc1)C[C@@H]1Cc2ccccc2-c2c1cccc2
1055,ch2_15_c_link__11_pyrazine__site1,ch2_15_c_link__11_pyrazine__site1.xyz,c1cnc(cn1)Cc1cccc2c1-c1ccccc1CC2
1056,ch2_15_c_link__11_pyrazine__site2,ch2_15_c_link__11_pyrazine__site2.xyz,c1cnc(cn1)Cc1ccc2c(-c3ccccc3CC2)c1
1057,ch2_15_c_link__11_pyrazine__site3,ch2_15_c_link__11_pyrazine__site3.xyz,c1cnc(cn1)Cc1cccc2-c3c(CCc12)cccc3
1058,ch2_16_c_link__1_NH2__site1,ch2_16_c_link__1_NH2__site1.xyz,NCc1ccc2c(c1)cc1c(c2)cc2c(c1)cc1c(c2)cccc1
1059,ch2_16_c_link__1_NH2__site2,ch2_16_c_link__1_NH2__site2.xyz,NCc1cccc2c1cc1cc3cc4ccccc4cc3cc1c2
1060,ch2_16_c_link__1_NH2__site3,ch2_16_c_link__1_NH2__site3.xyz,NCc1c2cc3cc4ccccc4cc3cc2cc2c1cccc2
1061,ch2_16_c_link__2_NMe2__site1,ch2_16_c_link__2_NMe2__site1.xyz,CN(Cc1ccc2c(c1)cc1c(c2)cc2c(c1)cc1c(c2)cccc1)C
